idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.0102473028160903,0.110002138374934,9,0.1,0.25,0.8,,,,,15000,1497,0,0,2.3427530179905e-08,0,0,,0,0,2,0
2,0.1,0.00875696474222822,0.108603035208921,9,0.1,0.65,0.95,,,,,15000,1497,0,0,2.08983253564238e-08,0,0,,0,0,2,0
3,0.1,0.00183383559738698,0.102195141761257,9,0.1,0.2,0.45,,,,,14999,1497,0,0,4.39054295799361e-10,0,0,,0,0,2,0
4,0.1,0.0073007119076061,0.0573820832417955,9,0.05,0.4,0.2,,,,,7500,1497,0,0,1.24614983131842e-08,0,0,,0,0,2,0
5,0.1,0.00395943603101866,0.0541929077583866,9,0.05,0.845,0.1,,,,,7500,1497,0,0,5.26920529739235e-09,0,0,,0,0,2,0
6,0.1,0.0204967039292673,0.070875721346312,9,0.05,0.35,0.55,,,,,7500,1497,0,0,1.09180407891368e-08,0,0,,0,0,1,0
7,0.1,0.00308635144605968,0.253061808632313,9,0.25,0.6,0.5,,,,,37499,1497,0,0,1.75736864382317e-08,0,0,,0,0,1,0
8,0.1,0.0054748309446219,0.105387392764054,9,0.1,0.85,0.85,,,,,15000,1496,0,0,2.03024730647785e-08,0,0,,0,0,1,0
9,0.1,0.0192980622933921,0.0708198017478319,9,0.05,0.15,0.3,,,,,7500,1496,0,0,3.68357763232981e-09,0,0,,0,0,1,0
10,0.1,0.0177379291692117,0.0672447577021299,9,0.05,0.45,0.75,,,,,7500,1497,0,0,2.51214915244574e-08,0,0,,0,0,1,0
