idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,1254.42616130868,0.0518744125301133,4.5,0.1,0.6,0.15,,,,,14556,147,443,0.00295333333333333,1.00034534122865,1.74443555555556e-05,0,0,0,2,0
2,0.1,853.086077068033,0.114986392959489,4.5,0.1,0.75,0.4,,,,,14703,1,296,0.00197333333333333,0.999841907073169,7.78808888888889e-06,0,0,0,2,0
3,0.1,604.599921866192,0.172144803629831,4.5,0.1,0.55,0.3,,,,,14701,2,296,0.00197333333333333,0.998926637801209,7.78808888888889e-06,0,0,0,2,0
4,0.1,1231.64439063105,0.0597758545531325,4.5,0.1,0.8,0.25,,,,,14692,11,306,0.00204,1.00029397326117,8.3232e-06,0,0,0,2,0
5,0.1,0.00323765530816539,0.104538829506758,4.5,0.1,0.65,0.5,,,,,14701,2,297,0.00198,3.31520769770204e-06,7.8408e-06,0,0,0,2,0
6,0.1,814.599282229886,0.122093841810672,4.5,0.1,0.85,0.45,,,,,14701,2,297,0.00198,0.99975592869584,3.9204e-06,0,0,0,1,0
7,0.1,977.05904516473,0.0560308466195361,4.5,0.1,0.7,0.1,,,,,13915,779,1081,0.00720666666666667,1.00040509581249,5.19360444444444e-05,0,0,0,1,0
8,0.1,1026.69398257255,0.0831842109234988,4.5,0.1,0.5,0.2,,,,,14678,24,319,0.00212666666666667,1.00014741808101,4.52271111111111e-06,0,0,0,1,0
9,0.1,0.0029560743562916,0.110431011272936,4.5,0.1,0.9,0.35,,,,,14703,0,295,0.00196666666666667,1.61310382204605e-14,3.86777777777778e-06,0,0,0,1,0
10,0.1,0.00350761527471792,0.104677420026771,4.5,0.1,0.45,0.5,,,,,14702,1,295,0.00196666666666667,6.13476591410343e-06,3.86777777777778e-06,0,0,0,1,0
