idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,current_channel_state,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,1,0.431350465859071,0.666351140502358,2,0.5,0.304145200229636,0.607427525323838,,,,,11,0,1,0.05,0.213822782165111,0.005,0,,0,0.05,0.05,2,0
1,1,0.431350465859071,0.666351140502358,2,0.5,0.304145200229636,0.607427525323838,,,,,11,0,1,0.05,0.213822782165111,0.005,0,,0,0.05,0.05,2,0
