idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,4.49818552701103,0.0454718953688979,0.4,0.01,0.95,0.06,,,,,1273,5587,227,0.00151333333333333,0.993711199319621,4.58035555555556e-06,0,0,0,2,0
2,0.1,4.71411937155799,0.0454809046693711,0.4,0.01,0.95,0.06,,,,,1295,5562,205,0.00136666666666667,0.993996876721314,3.73555555555556e-06,0,0,0,2,0
3,0.1,4.34105719397989,0.0455293273008438,0.4,0.01,0.95,0.06,,,,,1298,5565,202,0.00134666666666667,0.993473798950753,3.62702222222222e-06,0,0,0,2,0
4,0.1,4.55025184986345,0.045476347531383,0.4,0.01,0.95,0.06,,,,,1273,5584,227,0.00151333333333333,0.993782156968224,4.58035555555556e-06,0,0,0,2,0
5,0.1,0.00673613627067587,0.0458267425302212,0.4,0.01,0.95,0.06,,,,,1280,5583,220,0.00146666666666667,0.0141949151259613,4.30222222222222e-06,0,0,0,2,0
6,0.1,4.71421204226736,0.0454879444346484,0.4,0.01,0.95,0.06,,,,,1287,5572,213,0.00142,0.993995806900851,2.0164e-06,0,0,0,1,0
7,0.1,0.916566673690953,0.0456724421065706,0.4,0.01,0.95,0.06,,,,,1289,5570,211,0.00140666666666667,0.969344014962193,1.97871111111111e-06,0,0,0,1,0
8,0.1,4.69419950231231,0.045479869749455,0.4,0.01,0.95,0.06,,,,,1268,5589,232,0.00154666666666667,0.993971654676235,2.39217777777778e-06,0,0,0,1,0
9,0.1,0.00106675415179406,0.0483048465770193,0.4,0.01,0.95,0.06,,,,,1297,5559,203,0.00135333333333333,3.34453385525276e-13,1.83151111111111e-06,0,0,0,1,0
10,0.1,1.30565180979542,0.0452409393460481,0.4,0.01,0.95,0.06,,,,,1286,5575,214,0.00142666666666667,0.978638600812718,2.03537777777778e-06,0,0,0,1,0
