idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00336311532049272,0.0458815449718189,0.5,0.01,0.95,0.06,,,,,1366,5503,134,0.000893333333333333,2.32515434554891e-05,1.59608888888889e-06,0,0,0,2,0
2,0.1,0.00334845046512949,0.0457352965610752,0.5,0.01,0.95,0.06,,,,,1373,5491,127,0.000846666666666667,2.31807329282007e-05,1.43368888888889e-06,0,0,0,2,0
3,0.1,0.00332971828731465,0.0455669969678603,0.5,0.01,0.95,0.06,,,,,1371,5495,129,0.00086,2.29616867702869e-05,1.4792e-06,0,0,0,2,0
4,0.1,0.00338423170509987,0.0461136020185865,0.5,0.01,0.95,0.06,,,,,1376,5491,124,0.000826666666666667,2.32051215369327e-05,1.36675555555556e-06,0,0,0,2,0
5,0.1,0.00334992918743246,0.0457605828948915,0.5,0.01,0.95,0.06,,,,,1384,5489,116,0.000773333333333333,2.31150528597753e-05,1.19608888888889e-06,0,0,0,2,0
6,0.1,0.0024915828059226,0.0456340101630554,0.5,0.01,0.95,0.06,,,,,1364,5502,136,0.000906666666666667,6.14930656787133e-07,8.22044444444444e-07,0,0,0,1,0
7,0.1,0.0033349862227717,0.0456149654364911,0.5,0.01,0.95,0.06,,,,,1373,5496,127,0.000846666666666667,2.30189176687998e-05,7.16844444444444e-07,0,0,0,1,0
8,0.1,0.00334847684170545,0.0457460282133745,0.5,0.01,0.95,0.06,,,,,1362,5507,138,0.00092,2.31085016756355e-05,8.464e-07,0,0,0,1,0
9,0.1,0.00336780541989957,0.045938952885097,0.5,0.01,0.95,0.06,,,,,1373,5492,127,0.000846666666666667,2.32007258495332e-05,7.16844444444444e-07,0,0,0,1,0
10,0.1,0.00337257027313856,0.0459792795024347,0.5,0.01,0.95,0.06,,,,,1367,5498,133,0.000886666666666667,2.32732132187584e-05,7.86177777777778e-07,0,0,0,1,0
