idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,3.49371048699381e-06,0.100091042446595,7,0.1,0.25,0.8,,,,,15000,1497,0,0,3.61702131076629e-159,0,0,,0,0,2,0
2,0.1,0.00910888674834218,0.108407840086478,7,0.1,0.65,0.95,,,,,15000,1496,0,0,2.44242562172969e-06,0,0,,0,0,2,0
3,0.1,0.0179109699572125,0.115783339347605,7,0.1,0.2,0.45,,,,,14999,1497,0,0,4.38662437707091e-06,0,0,,0,0,2,0
4,0.1,0.00602267410859155,0.0573931438028664,7,0.05,0.4,0.2,,,,,7500,1497,0,0,3.43823078206329e-08,0,0,,0,0,2,0
5,0.1,0.00745544738023635,0.0573636096194417,7,0.05,0.845,0.1,,,,,7500,1497,0,0,9.88037612427813e-07,0,0,,0,0,2,0
6,0.1,0.00939096301548552,0.0657966495287088,7,0.05,0.35,0.55,,,,,7500,1497,0,0,5.92316586735859e-11,0,0,,0,0,1,0
7,0.1,0.00399625047745795,0.253577236087541,7,0.25,0.6,0.5,,,,,37499,1497,0,0,3.6090223858532e-06,0,0,,0,0,1,0
8,0.1,0.0196023192600759,0.116973962790361,7,0.1,0.85,0.85,,,,,14999,1497,0,0,5.43405651350028e-06,0,0,,0,0,1,0
9,0.1,0.017325598049451,0.0678188593265955,7,0.05,0.15,0.3,,,,,7499,1497,0,0,5.58181748954699e-07,0,0,,0,0,1,0
10,0.1,0.00108254842915005,0.0565591055017446,7,0.05,0.45,0.75,,,,,7500,1497,0,0,1.44826355780171e-37,0,0,,0,0,1,0
