idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00562260415698684,0.150152962934496,1,0.1,0.9,0.3,,,,,13795,12842,1205,0.00803333333333333,1.78767822467337e-08,0.000129068888888889,0,0,0,2,0
2,0.2,0.00464325059263774,0.141604156074681,1,0.1,0.75,0.2,,,,,12976,13656,2024,0.0134933333333333,1.64939582299467e-08,0.000364140088888889,0,0,0,2,0
3,0.2,0.0149200952328898,0.231917867795912,1,0.1,0.65,0.7,,,,,13686,12953,1314,0.00876,2.09056281671744e-08,7.67376e-05,0,0,0,1,0
4,0.2,0.0104887953806836,0.193195614303603,1,0.1,0.5,0.35,,,,,13504,13134,1496,0.00997333333333333,1.9158705895214e-08,9.94673777777778e-05,0,0,0,1,0
5,0.2,0.00800048314417328,0.171330293284153,1,0.1,0.8,0.4,,,,,13850,12787,1150,0.00766666666666667,1.8025175396485e-08,5.87777777777778e-05,0,0,0,1,0
