idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00183455412539504,0.102014364064841,6,0.1,0.25,0.8,,,,,15000,688,0,0,1.89525985932243e-06,0,0,,0,0,2,0
2,0.1,0.00502890165805779,0.0254302581999736,6,0.02,0.65,0.95,,,,,2999,689,0,0,2.35794575028538e-06,0,0,,0,0,2,0
3,0.1,0.00350771911147965,0.10364005822466,6,0.1,0.2,0.45,,,,,14999,689,0,0,3.90702004308625e-06,0,0,,0,0,2,0
4,0.1,0.0222583347558509,0.0703209437730668,6,0.05,0.4,0.2,,,,,7499,688,0,0,1.74616023608266e-05,0,0,,0,0,2,0
5,0.1,0.00180488529286525,0.0519908831844242,6,0.05,0.845,0.1,,,,,7483,705,17,0.000113333333333333,1.78404077699133e-06,2.56888888888889e-08,0,,0,0,2,0
6,0.1,0.000487609007923565,0.0408731733849857,6,0.04,0.35,0.55,,,,,6000,688,0,0,4.65134871314301e-10,0,0,,0,0,1,0
7,0.1,1.64430040005381,0.199985493823066,6,0.2,0.6,0.15,,,,,26808,2948,3187,0.0212466666666667,1.00010587076286,0.000451420844444444,0,,0,0,1,0
8,0.1,1.56041035674543e-05,0.100030646815521,6,0.1,0.85,0.85,,,,,15000,688,0,0,5.81338002167437e-11,0,0,,0,0,1,0
9,0.1,0.00315406487810037,0.103307918122589,6,0.1,0.15,0.3,,,,,14999,688,0,0,3.42177122955296e-06,0,0,,0,0,1,0
10,0.1,0.00195596251043082,0.202061283595846,6,0.2,0.45,0.75,,,,,29999,688,0,0,3.21992009867691e-06,0,0,,0,0,1,0
