idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00234387832175168,0.124670138224933,0.2,0.1,0.9,0.3,,,,,3547,17094,11453,0.0763533333333333,0.0148442937131937,0.0116596630222222,0,0,0,2,0
2,0.2,0.0118743869567049,0.187692633315214,0.2,0.1,0.75,0.2,,,,,3544,17098,11456,0.0763733333333333,0.0521302636819872,0.0116657720888889,0,0,0,2,0
3,0.2,0.00285244433296012,0.12850765822482,0.2,0.1,0.65,0.7,,,,,3695,16949,11305,0.0753666666666667,0.0183588007496553,0.00568013444444444,0,0,0,1,0
4,0.2,0.00179876943268434,0.220115927218583,0.2,0.2,0.5,0.35,,,,,7557,28083,22443,0.14962,0.0114100105672888,0.0223861444,0,0,0,1,0
5,0.2,0.00264519278035024,0.227214537409295,0.2,0.2,0.8,0.4,,,,,7216,28424,22784,0.151893333333333,0.0163207156431461,0.0230715847111111,0,0,0,1,0
