idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,49.9286059629741,0.0474089944254541,1,0.1,0.6,0.15,,,,,10055,4641,4945,0.0329666666666667,1.00210886880795,0.00217360222222222,0,0,0,2,0
2,0.1,38.2252131441147,0.0951222537243858,1,0.1,0.75,0.4,,,,,11578,3119,3422,0.0228133333333333,1.00025524350838,0.00104089635555556,0,0,0,2,0
3,0.1,33.6602447961476,0.108914995714757,1,0.1,0.55,0.3,,,,,11215,3482,3785,0.0252333333333333,0.99947043552251,0.00127344222222222,0,0,0,2,0
4,0.1,52.5092945024723,0.0511781650947215,1,0.1,0.8,0.25,,,,,11107,3590,3893,0.0259533333333333,1.00186128024934,0.00134715102222222,0,0,0,2,0
5,0.1,0.00108465964850903,0.105728724069127,1,0.1,0.65,0.5,,,,,11644,3054,3356,0.0223733333333333,2.5850681954032e-05,0.00100113208888889,0,0,0,2,0
6,0.1,38.1211501573334,0.0950768063364788,1,0.1,0.85,0.45,,,,,11652,3044,3348,0.02232,1.00025832533954,0.0004981824,0,0,0,1,0
7,0.1,0.00233333766594111,0.124328110375117,1,0.1,0.7,0.1,,,,,9212,5483,5788,0.0385866666666667,8.78656292295988e-10,0.00148893084444444,0,0,0,1,0
8,0.1,46.9151315312615,0.0665546243574516,1,0.1,0.5,0.2,,,,,10617,4080,4383,0.02922,1.00142679893644,0.0008538084,0,0,0,1,0
9,0.1,18.0471202397821,0.177174427129004,1,0.1,0.9,0.35,,,,,11477,3219,3523,0.0234866666666667,0.991483921428489,0.000551623511111111,0,0,0,1,0
10,0.1,0.00152345724631534,0.108250522606237,1,0.1,0.45,0.5,,,,,11446,3251,3554,0.0236933333333333,1.97705929883863e-05,0.000561374044444444,0,0,0,1,0
