idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,342.199392542431,0.147248388387213,0.4,0.1,0.9,0.3,,,,,6722,13906,8278,0.0551866666666667,0.999889547953554,0.00609113635555556,0,0,0,2,0
2,0.2,2.57630017750937,0.0679062188210121,0.4,0.1,0.75,0.2,,,,,6429,14199,8571,0.05714,1.01001567595719,0.0065299592,0,0,0,2,0
3,0.2,0.0238011570362115,0.260108665999762,0.4,0.1,0.65,0.7,,,,,6712,13922,8288,0.0552533333333333,0.00460072087571948,0.00305293084444444,0,0,0,1,0
4,0.2,453.878090720639,0.221473076382921,0.4,0.2,0.5,0.35,,,,,12853,22776,17147,0.114313333333333,0.999962152533081,0.0130675381777778,0,0,0,1,0
5,0.2,555.801008384804,0.191464544801937,0.4,0.2,0.8,0.4,,,,,13634,21994,16366,0.109106666666667,1.00001228570298,0.0119042647111111,0,0,0,1,0
