idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,12.4362260117905,0.101962661634843,1.6,0.1,0.9,0.3,,,,,14114,6527,886,0.00590666666666667,0.999495109560928,6.97774222222222e-05,0,0,0,2,0
2,0.2,6.90234163063637,0.0795311756350539,1.6,0.1,0.75,0.2,,,,,13701,6941,1299,0.00866,1.00953473637884,0.0001499912,0,0,0,2,0
3,0.2,0.33288389125088,0.300749096418777,1.6,0.1,0.65,0.7,,,,,13726,6918,1274,0.00849333333333333,0.145178201307079,7.21367111111111e-05,0,0,0,1,0
4,0.2,0.0837711921825011,0.288534701272514,1.6,0.2,0.5,0.35,,,,,26477,9163,3522,0.02348,0.0339806966386181,0.0005513104,0,0,0,1,0
5,0.2,10.0974064333241,0.117423259431642,1.6,0.2,0.8,0.4,,,,,27599,8041,2400,0.016,1.02651507970361,0.000256,0,0,0,1,0
