idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,32768.3150385937,0.220093182279398,6,0.2,0.65,0.3,,,,,25311,375,4686,0.03124,0.999992641754696,0.0019518752,0,,0,0,2,0
2,0.1,0.00440533483343452,0.056387302997788,6,0.05,0.55,0.15,,,,,7421,2197,79,0.000526666666666667,2.77835462260179e-08,5.54755555555556e-07,0,,0,0,2,0
3,0.1,0.00215621832631704,0.103104134158243,6,0.1,0.4,0.25,,,,,14581,2544,415,0.00276666666666667,3.14321316755223e-08,1.53088888888889e-05,0,,0,0,2,0
4,0.1,98445.8486786275,0.0495675178411115,6,0.25,0.6,0.1,,,,,20907,158,16588,0.110586666666667,1.00002443190038,0.0244588216888889,0,,0,0,2,0
5,0.1,0.0109983564664858,0.0313783803111281,6,0.01,0.8,0.4,,,,,1499,3365,0,0,7.41186060463634e-11,0,0,,0,0,2,0
6,0.1,0.0122792600210688,0.0437159113552944,6,0.02,0.7,0.3,,,,,3000,3364,0,0,8.60102819581466e-11,0,0,,0,0,1,0
7,0.1,25990.6932900671,0.195775549323641,6,0.25,0.8,0.2,,,,,25678,41,11817,0.07878,1.00002503594445,0.0062062884,0,,0,0,1,0
8,0.1,41307.1549261516,0.173201538042799,6,0.2,0.95,0.35,,,,,25550,130,4450,0.0296666666666667,1.00000778515964,0.000880111111111111,0,,0,0,1,0
9,0.1,0.0120426068888953,0.0348042112814446,6,0.01,0.75,0.45,,,,,1500,3366,0,0,1.84408338021549e-11,0,0,,0,0,1,0
10,0.1,0.0337273088295405,0.0645730050098845,6,0.01,0.85,0.65,,,,,1500,3363,0,0,3.69313692908371e-09,0,0,,0,0,1,0
