idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,301.362419830098,0.31523645962355,1,0.2,0.65,0.3,,,,,18051,7574,11949,0.07966,0.999235522423603,0.0126914312,0,,0,0,2,0
2,0.1,0.000705200310113354,0.0556214013836744,1,0.05,0.55,0.15,,,,,5218,4282,2282,0.0152133333333333,1.19170785440703e-07,0.000462891022222222,0,,0,0,2,0
3,0.1,0.000294801063837867,0.10237276905859,1,0.1,0.4,0.25,,,,,9928,7069,5072,0.0338133333333333,1.02088541484465e-07,0.00228668302222222,0,,0,0,2,0
4,0.1,899.162426573989,0.0978164357815309,1,0.25,0.6,0.1,,,,,14091,7469,23409,0.15606,1.00033855801744,0.0487094472,0,,0,0,2,0
5,0.1,0.00446203522492324,0.0460748777182786,1,0.01,0.8,0.4,,,,,1477,3371,23,0.000153333333333333,9.4970785156445e-08,4.70222222222222e-08,0,,0,0,2,0
6,0.1,0.00335875990281319,0.046856104738816,1,0.02,0.7,0.3,,,,,2709,3635,291,0.00194,1.13475511185932e-07,3.7636e-06,0,,0,0,1,0
7,0.1,2519.55113225258,0.0958671560402918,1,0.25,0.8,0.2,,,,,19747,6023,17753,0.118353333333333,1.00012235693208,0.0140075115111111,0,,0,0,1,0
8,0.1,3244.98001612229,0.0968245366987109,1,0.2,0.95,0.35,,,,,19540,6081,10460,0.0697333333333333,1.00006359283778,0.00486273777777778,0,,0,0,1,0
9,0.1,0.00529631163306248,0.052851120134011,1,0.01,0.75,0.45,,,,,1472,3377,28,0.000186666666666667,9.38568571886594e-08,3.48444444444444e-08,0,,0,0,1,0
10,0.1,0.00655260325788339,0.0630798714232787,1,0.01,0.85,0.65,,,,,1473,3375,27,0.00018,9.2029627237986e-08,3.24e-08,0,,0,0,1,0
