idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00729246971674372,0.144468752406199,1,0.1,0.9,0.3,,,,,12607,8053,2393,0.0159533333333333,5.05162612203683e-06,0.000509017688888889,0,0,0,2,0
2,0.2,0.000280766748237621,0.102197491855586,1,0.1,0.75,0.2,,,,,12024,8634,2976,0.01984,1.5913625545521e-07,0.0007872512,0,0,0,2,0
3,0.2,0.0146153963020128,0.188842984587718,1,0.1,0.65,0.7,,,,,12125,8542,2875,0.0191666666666667,5.24911363202923e-06,0.000367361111111111,0,0,0,1,0
4,0.2,0.00688270061587981,0.241856674061945,1,0.2,0.5,0.35,,,,,22850,12812,7150,0.0476666666666667,5.22078124677489e-06,0.00227211111111111,0,0,0,1,0
5,0.2,0.00161140784513142,0.210834991481396,1,0.2,0.8,0.4,,,,,24182,11478,5818,0.0387866666666667,1.44434095069202e-06,0.00150440551111111,0,0,0,1,0
