idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,39.2744458998359,0.119705912829687,0.8,0.1,0.9,0.3,,,,,11168,9460,3832,0.0255466666666667,0.999197523802261,0.00130526435555556,0,0,0,2,0
2,0.2,2.12820906695198,0.101272563380009,0.8,0.1,0.75,0.2,,,,,10607,10021,4393,0.0292866666666667,0.99904373693351,0.00171541768888889,0,0,0,2,0
3,0.2,0.0855935263758532,0.365793425291597,0.8,0.1,0.65,0.7,,,,,10857,9777,4143,0.02762,0.00695372942363702,0.0007628644,0,0,0,1,0
4,0.2,47.9898426638752,0.163298023187254,0.8,0.2,0.5,0.35,,,,,20322,15307,9678,0.06452,1.00122440714195,0.0041628304,0,0,0,1,0
5,0.2,50.578052000443,0.138130969704298,0.8,0.2,0.8,0.4,,,,,21593,14035,8407,0.0560466666666667,1.00195909844173,0.00314122884444444,0,0,0,1,0
