idx,clientVars,mu,delay,period,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,avg_tot_interrupt_rate,avg_tot_interrupt_rate_per_timestep,avg_interrupt_over_runs,theoretical_interrupt_rate,activations,current_aoi_array,time_since_last_packet_was_generated,aoi_lambda,avg_tot_aoi_value
1,0.000139917411424947,0.0476190476190476,2,21,0.912278308291233,0.15,,,,,7125,3416,18,0.00012,3.49793528562367e-05,3.17306329303413e-06,3.3515481032673e-05,0,0,,0,0,0,1,-1,0.0266609034409225,
2,0.000134354550109828,0.0476190476190476,2,21,0.815854363317252,0.134145636682748,,,,,7084,3035,59,0.000393333333333333,3.3588637527457e-05,3.17306329303413e-06,3.3515481032673e-05,0,0,,0,0,0,1,-1,0.0285879477920381,
3,0.000134820353649245,0.0476190476190476,3,21,0.794384511651008,0.130615488348992,,,,,7100,230,42,0.00028,2.24700589415408e-05,4.7595949395512e-06,2.2343654021782e-05,0,0,,0,0,0,1,-1,0.035031451750624,
4,0.000134313545813481,0.0476190476190476,3,21,0.772914659984765,0.127085340015235,,,,,7090,215,53,0.000353333333333333,2.23855909689135e-05,4.7595949395512e-06,2.2343654021782e-05,0,0,,0,0,0,1,-1,0.00926103584802043,
5,0.000134304104559292,0.0476190476190476,4,21,0.751444808318521,0.123555191681478,,,,,7075,18,67,0.000446666666666667,1.67880130699115e-05,6.34612658606826e-06,1.67577405163365e-05,0,0,,0,0,0,1,-1,0.0360041795223313,
6,0.000134581896638635,0.0476190476190476,4,21,0.729974956652278,0.120025043347722,,,,,7051,16,89,0.000593333333333333,1.68227370798293e-05,6.34612658606826e-06,1.67577405163365e-05,0,0,,0,0,0,1,-1,0.0199553131822903,
7,0.000134157412072085,0.0476190476190476,5,21,0.708505104986034,0.116494895013965,,,,,7057,0,83,0.000553333333333333,1.34157412072085e-05,7.93265823258533e-06,1.34061924130692e-05,0,0,,0,0,0,1,-1,0.0470596730445013,
8,0.000134139484310997,0.0476190476190476,5,21,0.687035253319791,0.112964746680209,,,,,7026,3,114,0.00076,1.34139484310997e-05,7.93265823258533e-06,1.34061924130692e-05,0,0,,0,0,0,1,-1,0.049324265494366,
9,0.000134684488654876,0.0476190476190476,6,21,0.665565401653547,0.109434598346452,,,,,6957,0,181,0.00120666666666667,1.12237073879063e-05,9.5191898791024e-06,1.1171827010891e-05,0,0,,0,0,0,1,-1,0.0284796927659375,
10,0.000134202391105502,0.0476190476190476,6,21,0.644095549987304,0.105904450012696,,,,,6961,0,177,0.00118,1.11835325921251e-05,9.5191898791024e-06,1.1171827010891e-05,0,0,,0,0,0,1,-1,0.0236335347923449,
11,0.000133999142312119,0.0476190476190476,7,21,0.622625698321061,0.102374301678939,,,,,6912,0,226,0.00150666666666667,9.57136730800849e-06,1.11057215256195e-05,9.57585172362086e-06,0,0,,0,0,0,1,-1,0.0381794057932118,
12,0.000133850688837076,0.0476190476190476,7,21,0.601155846654817,0.0988441533451827,,,,,6879,1,259,0.00172666666666667,9.56076348836255e-06,1.11057215256195e-05,9.57585172362086e-06,0,0,,0,0,0,1,-1,0.0275521271709414,
13,0.000133561216230828,0.0476190476190476,8,21,0.579685994988574,0.0953140050114262,,,,,6745,0,391,0.00260666666666667,8.34757601442675e-06,1.26922531721365e-05,8.37887025816826e-06,0,0,,0,0,0,1,-1,0.0207259241798829,
14,0.000133659694085886,0.0476190476190476,8,21,0.55821614332233,0.0917838566776697,,,,,6650,1,486,0.00324,8.35373088036787e-06,1.26922531721365e-05,8.37887025816826e-06,0,0,,0,0,0,1,-1,0.0395100635260272,
15,0.000133090691188139,0.0476190476190476,9,21,0.536746291656087,0.0882537083439131,,,,,6641,0,493,0.00328666666666667,7.39392728822995e-06,1.42787848186536e-05,7.44788467392734e-06,0,0,,0,0,0,1,-1,0.020263791264147,
16,0.000133292443642007,0.0476190476190476,9,21,0.515276439989843,0.0847235600101566,,,,,6544,0,591,0.00394,7.40513575788925e-06,1.42787848186536e-05,7.44788467392734e-06,0,0,,0,0,0,1,-1,0.0111978960543388,
17,0.000132460007352109,0.0476190476190476,10,21,0.4938065883236,0.0811934116764001,,,,,6407,0,728,0.00485333333333333,6.62300036760545e-06,1.58653164651707e-05,6.70309620653461e-06,0,0,,0,0,0,1,-1,0.0437930266488548,
18,0.000133331135712997,0.0476190476190476,10,21,0.472336736657356,0.0776632633426435,,,,,6388,0,747,0.00498,6.66655678564983e-06,1.58653164651707e-05,6.70309620653461e-06,0,0,,0,0,0,1,-1,0.0428932580849969,
19,0.000132647750815273,0.0476190476190476,11,21,0.450866884991113,0.074133115008887,,,,,6205,0,929,0.00619333333333333,6.02944321887607e-06,1.74518481116877e-05,6.09372382412237e-06,0,0,,0,0,0,1,-1,0.0142346014253558,
20,0.000131957022419255,0.0476190476190476,11,21,0.429397033324869,0.0706029666751305,,,,,6123,0,1011,0.00674,5.99804647360249e-06,1.74518481116877e-05,6.09372382412237e-06,0,0,,0,0,0,1,-1,0.0334352804808063,
