idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,128.726997454166,0.00512156539434713,2,0.1,0.6,0.15,,,,,12891,1801,2108,0.0140533333333333,1.002952556484,0.000394992355555556,0,0,0,2,0
2,0.1,8.27179953339518e-07,0.100015404102131,2,0.1,0.75,0.4,,,,,14191,502,809,0.00539333333333333,4.46193054018019e-33,5.81760888888889e-05,0,0,0,2,0
3,0.1,2.99841813683703e-08,0.100007475137446,2,0.1,0.55,0.3,,,,,13968,724,1031,0.00687333333333333,0,9.44854222222222e-05,0,0,0,2,0
4,0.1,125.857242689143,0.0866265854340046,2,0.1,0.8,0.25,,,,,13809,883,1191,0.00794,1.00042512474494,0.0001260872,0,0,0,2,0
5,0.1,0.00652240167229535,0.117331778742465,2,0.1,0.65,0.5,,,,,14164,529,836,0.00557333333333333,2.42019385332016e-05,6.21240888888889e-05,0,0,0,2,0
6,0.1,3.28153662648398e-06,0.101223026936737,2,0.1,0.85,0.45,,,,,14243,449,756,0.00504,0,2.54016e-05,0,0,0,1,0
7,0.1,62.1296239758841,0.124988963005692,2,0.1,0.7,0.1,,,,,11787,2904,3213,0.02142,0.998392465898416,0.0004588164,0,0,0,1,0
8,0.1,129.029951129519,0.0920887296017153,2,0.1,0.5,0.2,,,,,13489,1203,1510,0.0100666666666667,1.00024528384434,0.000101337777777778,0,0,0,1,0
9,0.1,2.75146319381426e-07,0.100000860664438,2,0.1,0.9,0.35,,,,,14030,662,969,0.00646,3.68183923218455e-06,4.17316e-05,0,0,0,1,0
10,0.1,0.0275143751010831,0.152333234813764,2,0.1,0.45,0.5,,,,,14123,568,876,0.00584,0.000496399318730446,3.41056e-05,0,0,0,1,0
