idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,128.726997454166,0.00512156539434713,2,0.1,0.6,0.15,,,,,13017,1685,1982,0.0132133333333333,1.002952556484,0.000349184355555556,0,0,0,2,0
2,0.1,8.27179953339518e-07,0.100015404102131,2,0.1,0.75,0.4,,,,,14115,587,884,0.00589333333333333,4.46193054018019e-33,6.94627555555556e-05,0,0,0,2,0
3,0.1,2.99841813683703e-08,0.100007475137446,2,0.1,0.55,0.3,,,,,13986,718,1014,0.00676,0,9.13952e-05,0,0,0,2,0
4,0.1,125.857242689143,0.0866265854340046,2,0.1,0.8,0.25,,,,,13836,868,1164,0.00776,1.00042512474494,0.0001204352,0,0,0,2,0
5,0.1,0.00652240167229535,0.117331778742465,2,0.1,0.65,0.5,,,,,14178,525,821,0.00547333333333333,2.42019385332016e-05,5.99147555555556e-05,0,0,0,2,0
6,0.1,3.28153662648398e-06,0.101223026936737,2,0.1,0.85,0.45,,,,,14227,476,772,0.00514666666666667,0,2.64881777777778e-05,0,0,0,1,0
7,0.1,62.1296239758841,0.124988963005692,2,0.1,0.7,0.1,,,,,11910,2791,3089,0.0205933333333333,0.998392465898416,0.000424085377777778,0,0,0,1,0
8,0.1,129.029951129519,0.0920887296017153,2,0.1,0.5,0.2,,,,,13472,1231,1528,0.0101866666666667,1.00024528384434,0.000103768177777778,0,0,0,1,0
9,0.1,2.75146319381426e-07,0.100000860664438,2,0.1,0.9,0.35,,,,,14063,640,937,0.00624666666666667,3.68183923218455e-06,3.90208444444444e-05,0,0,0,1,0
10,0.1,0.0275143751010831,0.152333234813764,2,0.1,0.45,0.5,,,,,14054,648,945,0.0063,0.000496399318730446,3.969e-05,0,0,0,1,0
