idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,51520.8363531303,0.0401248821688007,1,0.04,0.95,0.05,,,,,3865,2153,2135,0.0142333333333333,0.999999995152168,0.000405175555555556,0,0,0,2,0
2,0.1,52622.2598926386,0.0401246860376283,1,0.04,0.95,0.05,,,,,3841,2171,2159,0.0143933333333333,0.999999995261092,0.000414336088888889,0,0,0,2,0
3,0.1,35293.944279374,0.0401289260333421,1,0.04,0.95,0.05,,,,,3835,2179,2165,0.0144333333333333,0.999999992694156,0.000416642222222222,0,0,0,2,0
4,0.1,50729.3051887084,0.0401250192970523,1,0.04,0.95,0.05,,,,,3833,2178,2167,0.0144466666666667,0.999999995071121,0.000417412355555556,0,0,0,2,0
5,0.1,57552.6519859725,0.0401239208983246,1,0.04,0.95,0.05,,,,,3852,2159,2148,0.01432,0.999999995693651,0.0004101248,0,0,0,2,0
6,0.1,21408.7588462367,0.0401373854001375,1,0.04,0.95,0.05,,,,,3834,2179,2166,0.01444,0.999999987165496,0.0002085136,0,0,0,1,0
7,0.1,48610.100309161,0.0401253699562001,1,0.04,0.95,0.05,,,,,3880,2137,2120,0.0141333333333333,0.999999994841815,0.000199751111111111,0,0,0,1,0
8,0.1,67505.6044982843,0.0401227514371855,1,0.04,0.95,0.05,,,,,3859,2155,2141,0.0142733333333333,0.999999996363222,0.000203728044444444,0,0,0,1,0
9,0.1,45947.9387566936,0.0401259030275036,1,0.04,0.95,0.05,,,,,3843,2170,2157,0.01438,0.999999994519753,0.0002067844,0,0,0,1,0
10,0.1,55516.794242718,0.0401242165054467,1,0.04,0.95,0.05,,,,,3840,2172,2160,0.0144,0.999999995525084,0.00020736,0,0,0,1,0
