idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00164353347000618,0.103034067690726,4,0.1,0.6,0.75,,,,,14996,1,2,1.33333333333333e-05,3.85582510438441e-07,3.55555555555556e-10,0,0,0,2,0
2,0.1,0.00179970463072544,0.103313248191318,4,0.1,0.5,0.85,,,,,14996,1,2,1.33333333333333e-05,4.01537748961138e-07,3.55555555555556e-10,0,0,0,2,0
3,0.1,0.00166595444765874,0.103078229801394,4,0.1,0.7,0.65,,,,,14996,1,2,1.33333333333333e-05,3.80484733558218e-07,3.55555555555556e-10,0,0,0,2,0
4,0.1,0.0222675905826976,0.133495840128232,4,0.1,0.45,0.9,,,,,14996,1,2,1.33333333333333e-05,5.93921105672318e-06,3.55555555555556e-10,0,0,0,2,0
5,0.1,0.00174685245552143,0.103231819005636,4,0.1,0.35,0.7,,,,,14995,1,2,1.33333333333333e-05,3.73387104158929e-07,3.55555555555556e-10,0,0,0,2,0
6,0.1,0.00214437737021268,0.103890191171257,4,0.1,0.4,0.4,,,,,14995,1,3,2e-05,4.97791651243944e-07,4e-10,0,0,0,1,0
7,0.1,0.00171168943474594,0.103167929045307,4,0.1,0.3,0.7,,,,,14995,1,2,1.33333333333333e-05,3.71360461350667e-07,1.77777777777778e-10,0,0,0,1,0
8,0.1,0.00177332316501742,0.103267468235076,4,0.1,0.4,0.8,,,,,14996,0,2,1.33333333333333e-05,3.96518663719338e-07,1.77777777777778e-10,0,0,0,1,0
9,0.1,0.00167927635562653,0.103094143214875,4,0.1,0.55,0.45,,,,,14995,1,3,2e-05,3.96589306615691e-07,4e-10,0,0,0,1,0
10,0.1,7589.97004964261,0.0402594061468748,4,0.1,0.45,0.25,,,,,14992,3,7,4.66666666666667e-05,1.00006296991885,2.17777777777778e-09,0,0,0,1,0
