idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.000180518684343032,0.0410999967272335,0.3,0.01,0.95,0.06,,,,,1127,5733,373,0.00248666666666667,1.28086910201294e-45,1.23670222222222e-05,0,0,0,2,0
2,0.1,1.82074259555054e-05,0.0402522260751688,0.3,0.01,0.95,0.06,,,,,1157,5700,343,0.00228666666666667,0,1.04576888888889e-05,0,0,0,2,0
3,0.1,0.000144080220525401,0.0496405425957965,0.3,0.01,0.95,0.06,,,,,1160,5703,340,0.00226666666666667,2.032286352815e-72,1.02755555555556e-05,0,0,0,2,0
4,0.1,0.303325948936342,0.0580119225922398,0.3,0.01,0.95,0.06,,,,,1139,5718,361,0.00240666666666667,0.909399352060116,1.15840888888889e-05,0,0,0,2,0
5,0.1,1.73264646736436e-05,0.0481868199999617,0.3,0.01,0.95,0.06,,,,,1138,5725,362,0.00241333333333333,0,1.16483555555556e-05,0,0,0,2,0
6,0.1,0.00369022996170722,0.0365460066218791,0.3,0.01,0.95,0.06,,,,,1136,5723,364,0.00242666666666667,0.0133511219412491,5.88871111111111e-06,0,0,0,1,0
7,0.1,0.000121707309801202,0.0525918256027481,0.3,0.01,0.95,0.06,,,,,1148,5711,352,0.00234666666666667,6.46298052754183e-92,5.50684444444444e-06,0,0,0,1,0
8,0.1,8.96450796301698e-05,0.0422328872600018,0.3,0.01,0.95,0.06,,,,,1117,5740,383,0.00255333333333333,2.02650611253168e-94,6.51951111111111e-06,0,0,0,1,0
9,0.1,0.00163582504845679,0.034249446757764,0.3,0.01,0.95,0.06,,,,,1166,5690,334,0.00222666666666667,0.000137156042366079,4.95804444444444e-06,0,0,0,1,0
10,0.1,7.39427091437104e-05,0.0551595853818971,0.3,0.01,0.95,0.06,,,,,1151,5710,349,0.00232666666666667,7.17867210735969e-160,5.41337777777778e-06,0,0,0,1,0
