idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,82937.6095319775,0.0449411938539652,1.2,0.2,0.8,0.15,,,,,17989,5892,12010,0.0800666666666667,1.00000448701104,0.0128213422222222,0,0,0,2,0
2,0.2,0.00137997743222305,0.209965890377342,1.2,0.2,0.65,0.5,,,,,21939,5469,8061,0.05374,2.96956072089208e-08,0.0057759752,0,0,0,2,0
3,0.2,0.000467607985929689,0.20347151134267,1.2,0.2,0.95,0.25,,,,,21073,5123,8927,0.0595133333333333,1.82783798426604e-08,0.00354183684444444,0,0,0,1,0
4,0.2,0.00137332908984791,0.209792911322087,1.2,0.2,0.7,0.45,,,,,21902,5507,8098,0.0539866666666667,3.69434123166293e-08,0.00291456017777778,0,0,0,1,0
5,0.2,0.00176650615211697,0.212559431982322,1.2,0.2,0.65,0.6,,,,,21938,5470,8061,0.05374,3.88553446201867e-08,0.0028879876,0,0,0,1,0
