idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,254.022065654422,0.0782120334033813,0.6,0.2,0.8,0.15,,,,,11847,12034,18153,0.12102,1.00057549177191,0.0292916808,0,0,0,2,0
2,0.2,1.28632401036855e-05,0.200180157981706,0.6,0.2,0.65,0.5,,,,,14374,13034,15626,0.104173333333333,5.02239075464535e-08,0.0217041667555556,0,0,0,2,0
3,0.2,2.09366360293722e-07,0.200003642566582,0.6,0.2,0.95,0.25,,,,,14246,11950,15754,0.105026666666667,8.56933312393344e-10,0.0110306007111111,0,0,0,1,0
4,0.2,4.5727097926269e-05,0.200592687943116,0.6,0.2,0.7,0.45,,,,,14622,12787,15378,0.10252,1.75838598608237e-07,0.0105103504,0,0,0,1,0
5,0.2,0.000145574371974623,0.201742416983601,0.6,0.2,0.65,0.6,,,,,14572,12836,15428,0.102853333333333,5.78337816504737e-07,0.0105788081777778,0,0,0,1,0
