idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,254.022065654422,0.0782120334033813,0.6,0.2,0.8,0.15,,,,,11688,11864,18312,0.12208,1.00057549177191,0.0298070528,0,0,0,2,0
2,0.2,1.28632401036855e-05,0.200180157981706,0.6,0.2,0.65,0.5,,,,,14464,12999,15536,0.103573333333333,5.02239075464535e-08,0.0214548707555556,0,0,0,2,0
3,0.2,2.09366360293722e-07,0.200003642566582,0.6,0.2,0.95,0.25,,,,,14314,11984,15686,0.104573333333333,8.56933312393344e-10,0.0109355820444444,0,0,0,1,0
4,0.2,4.5727097926269e-05,0.200592687943116,0.6,0.2,0.7,0.45,,,,,14448,13012,15552,0.10368,1.75838598608237e-07,0.0107495424,0,0,0,1,0
5,0.2,0.000145574371974623,0.201742416983601,0.6,0.2,0.65,0.6,,,,,14496,12966,15504,0.10336,5.78337816504737e-07,0.0106832896,0,0,0,1,0
