idx,clientVars,mu,delay,period,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,avg_tot_interrupt_rate,avg_tot_interrupt_rate_per_timestep,avg_interrupt_over_runs,theoretical_interrupt_rate,activations,current_aoi_array,time_since_last_packet_was_generated,aoi_lambda,avg_tot_aoi_value
1,0.000618431507145574,0.0909090909090909,11,11,0.85836081469816,0.2326,,,,,0,0,0,0,23.7914682502531,,,6.36363636363603,0,,0,0,13630,,149976,0.0533218068818449,
2,0.00062356474978301,0.0909090909090909,12,11,0.708114097977095,0.191885902022905,,,,,0,0,0,0,22.5276134913229,,,5.36363636363603,0,,0,0,13631,,149982,0.0571758955840761,
3,0.00059720221491512,0.0909090909090909,13,11,0.668774425867256,0.181225574132744,,,,,0,0,0,0,19.3090190961324,,,6.36363636363603,0,,0,0,13630,,149995,0.070062903501248,
4,0.000619999963483712,0.0909090909090909,14,11,0.629434753757418,0.170565246242582,,,,,0,0,0,0,59.0271509197484,,,6.36363636363603,0,,0,0,13630,,149990,0.0185220716960409,
5,0.000583944240628714,0.0909090909090909,15,11,0.590095081647579,0.159904918352421,,,,,0,0,0,0,18.9226052325943,,,3.36363636363603,0,,0,0,13633,,149993,0.0720083590446625,
6,0.00159956404481155,0.0909090909090909,16,11,0.55075540953774,0.14924459046226,,,,,13611,16,14,9.33333333333333e-05,4.99863764003611e-05,3.54383751390076e-05,3.32580844810414e-05,9.36363636363603,0,,0,0,13627,1,-1,0.0399106263645806,
7,0.00148713151246452,0.0909090909090909,17,11,0.511415737427902,0.138584262572098,,,,,13618,12,11,7.33333333333333e-05,4.37391621313094e-05,3.76532735851956e-05,3.13017265703919e-05,6.36363636363603,0,,0,0,13630,1,-1,0.0941193460890026,
8,0.00187107829247289,0.0909090909090909,18,11,0.472076065318063,0.127923934681937,,,,,13610,16,15,0.0001,5.19743970131359e-05,3.98681720313836e-05,2.95627417609257e-05,10.363636363636,0,,0,0,13626,1,-1,0.0986485309887319,
9,0.00160698402650808,0.0909090909090909,19,11,0.432736393208224,0.117263606791775,,,,,13613,13,12,8e-05,4.22890533291601e-05,4.20830704775716e-05,2.80068079840348e-05,10.363636363636,0,,0,0,13626,1,-1,0.056959385531875,
10,0.0016799095657552,0.0909090909090909,20,11,0.393396721098386,0.106603278901614,,,,,13610,16,15,0.0001,4.19977391438801e-05,4.42979689237596e-05,2.66064675848331e-05,10.363636363636,0,,0,0,13626,1,-1,0.0472670695846899,
