idx,clientVars,mu,delay,period,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_vwd_rate,theoretical_wld_rate,theoretical_dbldf_rate,vwd_deficit,avg_tot_interrupt_rate,avg_tot_interrupt_rate_per_timestep,avg_interrupt_over_runs,theoretical_interrupt_rate,activations,current_aoi_array,time_since_last_packet_was_generated,aoi_lambda,avg_tot_aoi_value
1,0.00111794243946547,0.0909090909090909,11,11,0.85836081469816,0.2326,,,,,13624,12,8,5.33333333333333e-05,5.08155654302487e-05,2.43638829080678e-05,4.83753956087874e-05,0,0,,0,0,0,1,-1,0.0533218068818449,
2,0.00110854110826998,0.0909090909090909,12,11,0.708114097977095,0.191885902022905,,,,,13621,14,10,6.66666666666667e-05,4.61892128445825e-05,2.65787813542557e-05,4.43441126413885e-05,0,0,,0,0,0,1,-1,0.0571758955840761,
3,0.00111895268353752,0.0909090909090909,13,11,0.668774425867256,0.181225574132744,,,,,13623,14,9,6e-05,4.30366416745199e-05,2.87936798004437e-05,4.09330270535894e-05,0,0,,0,0,0,1,-1,0.070062903501248,
4,0.00107252932764763,0.0909090909090909,14,11,0.629434753757418,0.170565246242582,,,,,13623,14,8,5.33333333333333e-05,3.83046188445582e-05,3.10085782466317e-05,3.80092394069044e-05,0,0,,0,0,0,1,-1,0.0185220716960409,
5,0.00101965849304753,0.0909090909090909,15,11,0.590095081647579,0.159904918352421,,,,,13619,17,11,7.33333333333333e-05,3.39886164349178e-05,3.32234766928197e-05,3.54752901131108e-05,0,0,,0,0,0,1,-1,0.0720083590446625,
6,0.00105470508450896,0.0909090909090909,16,11,0.55075540953774,0.14924459046226,,,,,13621,17,11,7.33333333333333e-05,3.29595338909049e-05,3.54383751390076e-05,3.32580844810414e-05,0,0,,0,0,0,1,-1,0.0399106263645806,
7,0.001053251364494,0.0909090909090909,17,11,0.511415737427902,0.138584262572098,,,,,13618,18,12,8e-05,3.09779813086469e-05,3.76532735851956e-05,3.13017265703919e-05,0,0,,0,0,0,1,-1,0.0941193460890026,
8,0.00104268471241029,0.0909090909090909,18,11,0.472076065318063,0.127923934681937,,,,,13619,18,11,7.33333333333333e-05,2.89634642336191e-05,3.98681720313836e-05,2.95627417609257e-05,0,0,,0,0,0,1,-1,0.0986485309887319,
9,0.00103407860524336,0.0909090909090909,19,11,0.432736393208224,0.117263606791775,,,,,13614,21,14,9.33333333333333e-05,2.72125948748253e-05,4.20830704775716e-05,2.80068079840348e-05,0,0,,0,0,0,1,-1,0.056959385531875,
10,0.00102331272455878,0.0909090909090909,20,11,0.393396721098386,0.106603278901614,,,,,13613,24,17,0.000113333333333333,2.55828181139694e-05,4.42979689237596e-05,2.66064675848331e-05,0,0,,0,0,0,1,-1,0.0472670695846899,
