idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,99584.5459864522,0.0869802753128632,2,0.2,0.65,0.3,,,,,22388,3452,7612,0.0507466666666667,1.00000453965945,0.00515044835555556,0,,0,0,2,0
2,0.1,0.00216899709182566,0.0603729712399809,2,0.05,0.55,0.15,,,,,6451,3037,1048,0.00698666666666667,4.92212544020415e-09,9.76270222222222e-05,0,,0,0,2,0
3,0.1,0.00117253714416447,0.105533818513339,2,0.1,0.4,0.25,,,,,12426,4565,2573,0.0171533333333333,6.32914611409659e-09,0.000588473688888889,0,,0,0,2,0
4,0.1,17946.5977629875,0.114232071292066,2,0.25,0.6,0.1,,,,,18112,3278,19387,0.129246666666667,1.00003026088504,0.0334094016888889,0,,0,0,2,0
5,0.1,0.0137877542374434,0.0736248433259542,2,0.01,0.8,0.4,,,,,1498,3287,2,1.33333333333333e-05,9.63018841406362e-09,3.55555555555556e-10,0,,0,0,2,0
6,0.1,0.0111934066678196,0.0690259206325455,2,0.02,0.7,0.3,,,,,2961,3319,39,0.00026,2.46233422601102e-08,6.76e-08,0,,0,0,1,0
7,0.1,11405.8442416897,0.197742152120932,2,0.25,0.8,0.2,,,,,23790,1968,13709,0.0913933333333333,1.00001832685968,0.00835274137777778,0,,0,0,1,0
8,0.1,64936.9117294337,0.0880025703359721,2,0.2,0.95,0.35,,,,,23508,2323,6491,0.0432733333333333,1.00000689886926,0.00187258137777778,0,,0,0,1,0
9,0.1,0.014258289682663,0.0810803540584157,2,0.01,0.75,0.45,,,,,1499,3286,1,6.66666666666667e-06,2.18690202629105e-09,4.44444444444444e-11,0,,0,0,1,0
10,0.1,0.0180128182559142,0.0960057557686643,2,0.01,0.85,0.65,,,,,1500,3284,0,0,5.07576066201211e-09,0,0,,0,0,1,0
