idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,current_channel_state,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,1,86358.0934306746,0.666351140502838,1,1,0.304145200229636,0.607427525323838,,,,,11,0,5,0.25,1.00000772713096,0.125,0,,0,0.25,0.25,2,0
1,1,86358.0934306746,0.666351140502838,1,1,0.304145200229636,0.607427525323838,,,,,11,0,5,0.25,1.00000772713096,0.125,0,,0,0.25,0.25,2,0
