idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.000637040940355957,0.102374571458275,1.5,0.1,0.6,0.75,,,,,14822,177,178,0.00118666666666667,1.39155119544574e-05,2.81635555555556e-06,0,0,0,2,0
2,0.1,0.000893735339336279,0.10336644830603,1.5,0.1,0.5,0.85,,,,,14841,157,158,0.00105333333333333,1.23710473769948e-05,2.21902222222222e-06,0,0,0,2,0
3,0.1,0.00252736383467619,0.108495375704733,1.5,0.1,0.7,0.65,,,,,14854,144,145,0.000966666666666667,4.17389731221623e-05,1.86888888888889e-06,0,0,0,2,0
4,0.1,0.000953958551866037,0.103487870758237,1.5,0.1,0.45,0.9,,,,,14903,95,96,0.00064,1.72340481238097e-05,8.192e-07,0,0,0,2,0
5,0.1,88.4504206996801,0.0349826612853022,1.5,0.1,0.35,0.7,,,,,14898,100,102,0.00068,1.00220764625419,9.248e-07,0,0,0,2,0
6,0.1,0.000579539951494633,0.102059053193397,1.5,0.1,0.4,0.4,,,,,14484,515,516,0.00344,2.34948454183656e-05,1.18336e-05,0,0,0,1,0
7,0.1,0.00214080196396959,0.108791548480779,1.5,0.1,0.3,0.7,,,,,14769,229,231,0.00154,4.46168631435342e-06,2.3716e-06,0,0,0,1,0
8,0.1,39.851827956259,0.128782645947605,1.5,0.1,0.4,0.8,,,,,14836,162,164,0.00109333333333333,0.997835621006865,1.19537777777778e-06,0,0,0,1,0
9,0.1,0.00127552236659018,0.10446540284972,1.5,0.1,0.55,0.45,,,,,14712,286,288,0.00192,2.74669427917192e-05,3.6864e-06,0,0,0,1,0
10,0.1,0.00083299457006576,0.103026764646618,1.5,0.1,0.45,0.25,,,,,14074,924,926,0.00617333333333333,1.8443767118659e-05,3.81100444444444e-05,0,0,0,1,0
