idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00888151784254734,0.131757794680533,2.4,0.1,0.9,0.3,,,,,14834,5815,166,0.00110666666666667,3.51570107395981e-08,2.44942222222222e-06,0,0,0,2,0
2,0.2,0.00775692515112514,0.127607721570485,2.4,0.1,0.75,0.2,,,,,14643,6008,356,0.00237333333333333,3.80749030161682e-08,1.12654222222222e-05,0,0,0,2,0
3,0.2,0.0223156019331548,0.178362290536913,2.4,0.1,0.65,0.7,,,,,14468,6184,532,0.00354666666666667,4.78388968689052e-08,1.25788444444444e-05,0,0,0,1,0
4,0.2,0.00799135945282465,0.228509493139732,2.4,0.2,0.5,0.35,,,,,28687,6961,1312,0.00874666666666667,3.65643841286957e-08,7.65041777777778e-05,0,0,0,1,0
5,0.2,0.00616950256295582,0.221963594465182,2.4,0.2,0.8,0.4,,,,,29239,6406,759,0.00506,3.79070533198182e-08,2.56036e-05,0,0,0,1,0
