idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.0220435622169107,0.149494509775484,2.6,0.1,0.9,0.3,,,,,14989,11648,11,7.33333333333333e-05,8.49881786583002e-06,1.07555555555556e-08,0,0,0,2,0
2,0.2,0.0179578133143627,0.140464122223278,2.6,0.1,0.75,0.2,,,,,14889,11743,110,0.000733333333333333,8.15322727618102e-06,1.07555555555556e-06,0,0,0,2,0
3,0.2,0.0613124875346877,0.235163358981746,2.6,0.1,0.65,0.7,,,,,14983,11656,17,0.000113333333333333,1.05077411326165e-05,1.28444444444444e-08,0,0,0,1,0
4,0.2,0.0417927734664865,0.193649768504569,2.6,0.1,0.5,0.35,,,,,14989,11649,11,7.33333333333333e-05,8.69967478273827e-06,5.37777777777778e-09,0,0,0,1,0
5,0.2,0.0310377965892125,0.169429134907766,2.6,0.1,0.8,0.4,,,,,14993,11644,7,4.66666666666667e-05,8.87745875139874e-06,2.17777777777778e-09,0,0,0,1,0
