idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00942326699071036,0.117088200825359,3,0.1,0.7,0.5,,,,,13832,2791,1166,0.00777333333333333,1.88230032615873e-05,0.000120849422222222,0,0,0,2,0
2,0.2,0.00834038357902653,0.215044447622238,3,0.2,0.656,0.45,,,,,28202,3413,1797,0.01198,1.99387428643597e-05,0.0002870408,0,0,0,2,0
3,0.2,0.00612681796974184,0.211278202974302,3,0.2,0.93,0.375,,,,,28694,2918,1306,0.00870666666666667,1.59706585975015e-05,7.58060444444444e-05,0,0,0,1,0
4,0.2,0.00597256016792741,0.211053587110159,3,0.2,0.457,0.23,,,,,26932,4676,3066,0.02044,1.50464151908076e-05,0.0004177936,0,0,0,1,0
5,0.2,0.000167991283896756,0.100407717420802,3,0.1,0.845,0.11,,,,,13564,3018,1436,0.00957333333333333,4.73984146801038e-07,9.16487111111111e-05,0,0,0,1,0
