idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00942326699071036,0.117088200825359,3,0.1,0.7,0.5,,,,,13826,2802,1173,0.00782,1.88230032615873e-05,0.0001223048,0,0,0,2,0
2,0.2,0.00834038357902653,0.215044447622238,3,0.2,0.656,0.45,,,,,28162,3460,1837,0.0122466666666667,1.99387428643597e-05,0.000299961688888889,0,0,0,2,0
3,0.2,0.00612681796974184,0.211278202974302,3,0.2,0.93,0.375,,,,,28623,2998,1376,0.00917333333333333,1.59706585975015e-05,8.41500444444444e-05,0,0,0,1,0
4,0.2,0.00597256016792741,0.211053587110159,3,0.2,0.457,0.23,,,,,26859,4765,3140,0.0209333333333333,1.50464151908076e-05,0.000438204444444444,0,0,0,1,0
5,0.2,0.000167991283896756,0.100407717420802,3,0.1,0.845,0.11,,,,,13500,3100,1498,0.00998666666666667,4.73984146801038e-07,9.97335111111111e-05,0,0,0,1,0
