idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00244667080304738,0.0458097070430455,0.2,0.01,0.95,0.06,,,,,950,5919,550,0.00366666666666667,0.00286714613978212,2.68888888888889e-05,0,0,0,2,0
2,0.1,0.0024454910345962,0.0457942474066335,0.2,0.01,0.95,0.06,,,,,912,5952,588,0.00392,0.00286629857292118,3.07328e-05,0,0,0,2,0
3,0.1,0.00244599616030552,0.0458010201006091,0.2,0.01,0.95,0.06,,,,,890,5976,610,0.00406666666666667,0.00286658955256221,3.30755555555555e-05,0,0,0,2,0
4,0.1,0.0024461450272074,0.0458029211388324,0.2,0.01,0.95,0.06,,,,,933,5934,567,0.00378,0.00286671980496878,2.85768e-05,0,0,0,2,0
5,0.1,0.00244555039409921,0.0457949590095484,0.2,0.01,0.95,0.06,,,,,941,5932,559,0.00372666666666667,0.00286637228729202,2.77760888888889e-05,0,0,0,2,0
6,0.1,0.00244591998724283,0.0457999848405303,0.2,0.01,0.95,0.06,,,,,899,5967,601,0.00400666666666667,0.00286655221180678,1.60533777777778e-05,0,0,0,1,0
7,0.1,0.00244481757835195,0.045785667143532,0.2,0.01,0.95,0.06,,,,,913,5956,587,0.00391333333333333,0.00286569977263147,1.53141777777778e-05,0,0,0,1,0
8,0.1,0.00244593028127944,0.045800079846301,0.2,0.01,0.95,0.06,,,,,944,5925,556,0.00370666666666667,0.00286657830652694,1.37393777777778e-05,0,0,0,1,0
9,0.1,0.00244461345634403,0.0457829175520542,0.2,0.01,0.95,0.06,,,,,951,5914,549,0.00366,0.00286558807564725,1.33956e-05,0,0,0,1,0
10,0.1,0.00244590016420129,0.0457997555336033,0.2,0.01,0.95,0.06,,,,,918,5947,582,0.00388,0.00286652369280204,1.50544e-05,0,0,0,1,0
