aoi_vals_per_time
1
2
3
4
5
6
7
8
1
2
3
1
2
3
3
4
5
6
7
8
9
10
11
12
13
14
15
3
4
5
1
1
2
3
4
5
6
7
8
9
10
11
12
13
14
1
2
3
4
5
5
6
1
2
3
4
5
6
7
8
9
10
2
3
4
5
6
7
8
9
10
4
5
6
7
8
9
10
11
12
13
8
9
10
11
12
13
14
15
16
17
18
19
20
1
1
2
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
3
4
5
6
7
8
1
1
2
3
4
5
6
7
8
9
10
11
12
13
4
5
6
7
8
9
10
11
12
13
14
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
4
5
6
7
2
3
4
5
6
7
8
9
10
1
2
3
4
5
6
7
8
9
10
11
1
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
3
4
5
1
1
2
3
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
4
5
6
7
8
9
10
11
12
13
14
15
7
8
9
10
11
12
13
14
15
16
17
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
10
11
12
13
14
15
16
17
18
19
1
2
3
1
2
3
4
5
1
2
3
4
1
2
3
4
5
6
7
8
9
10
10
11
12
13
1
2
3
4
5
6
7
7
8
9
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
1
2
2
3
4
5
6
7
8
9
10
11
12
13
1
2
3
1
2
3
4
5
6
7
8
9
10
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
3
4
5
6
7
8
9
10
11
12
5
6
7
8
9
10
11
12
13
14
15
16
17
18
1
2
3
4
5
6
7
8
9
10
11
12
13
14
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
8
9
10
11
12
13
2
3
4
5
6
7
8
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
2
3
4
5
6
7
1
2
3
4
5
6
7
8
3
4
5
6
7
8
9
10
11
12
3
4
5
6
7
8
9
10
4
5
6
7
8
9
10
11
12
13
14
15
16
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
5
6
7
8
9
10
11
12
13
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
1
2
1
2
2
3
4
5
6
7
8
5
6
7
8
9
10
1
1
2
3
4
5
6
7
8
9
5
6
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
1
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
7
8
9
10
11
12
1
1
2
3
4
5
6
7
8
9
10
1
2
3
4
5
6
7
8
9
10
11
12
13
14
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
8
9
10
11
12
13
14
15
16
17
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
6
7
8
9
10
11
12
13
14
15
16
17
18
