idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00340129102505421,0.0441256013007084,4,0.04,0.95,0.05,,,,,5373,623,626,0.00417333333333333,6.10625024613291e-05,3.48334222222222e-05,0,0,0,2,0
2,0.1,1.93391115221481,0.0422903932075571,4,0.04,0.95,0.05,,,,,5389,605,608,0.00405333333333333,0.990570085720046,3.28590222222222e-05,0,0,0,2,0
3,0.1,2.92631462810124,0.0405613865048882,4,0.04,0.95,0.05,,,,,5419,571,581,0.00387333333333333,0.998466450784263,3.00054222222222e-05,0,0,0,2,0
4,0.1,3.96957381598162,0.0387705606359016,4,0.04,0.95,0.05,,,,,5385,620,614,0.00409333333333333,1.00248079776141,3.35107555555556e-05,0,0,0,2,0
5,0.1,0.456442739940458,0.0459811861076838,4,0.04,0.95,0.05,,,,,5398,595,601,0.00400666666666667,0.90047641411266,3.21067555555556e-05,0,0,0,2,0
6,0.1,0.00117550835815919,0.0412018704277141,4,0.04,0.95,0.05,,,,,5405,592,595,0.00396666666666667,0.000280367641508841,1.57344444444444e-05,0,0,0,1,0
7,0.1,4.62138597435766,0.0353392353129341,4,0.04,0.95,0.05,,,,,5445,550,554,0.00369333333333333,1.00810080317314,1.36407111111111e-05,0,0,0,1,0
8,0.1,0.000154194441035547,0.0401990550321824,4,0.04,0.95,0.05,,,,,5395,596,602,0.00401333333333333,3.27213878424999e-05,1.61068444444444e-05,0,0,0,1,0
9,0.1,4.68753753923897,0.0347195573881172,4,0.04,0.95,0.05,,,,,5374,623,624,0.00416,1.00905261249726,1.73056e-05,0,0,0,1,0
10,0.1,3.99610526464063,0.038074214843934,4,0.04,0.95,0.05,,,,,5454,543,545,0.00363333333333333,1.00386276550107,1.32011111111111e-05,0,0,0,1,0
