idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,469.571589877719,0.0206595698654399,5,0.1,0.6,0.15,,,,,14629,58,367,0.00244666666666667,1.00169106261478,1.19723555555556e-05,0,0,0,2,0
2,0.1,0.000259306930151936,0.100790792296275,5,0.1,0.75,0.4,,,,,14686,2,310,0.00206666666666667,5.69626220321136e-14,8.54222222222222e-06,0,0,0,2,0
3,0.1,0.00111709116214449,0.106306050353501,5,0.1,0.55,0.3,,,,,14687,2,310,0.00206666666666667,3.0465019915893e-25,8.54222222222222e-06,0,0,0,2,0
4,0.1,0.0126810688758619,0.114934430380242,5,0.1,0.8,0.25,,,,,14685,3,312,0.00208,7.67955321100644e-06,8.6528e-06,0,0,0,2,0
5,0.1,0.00129677139942178,0.103115549989095,5,0.1,0.65,0.5,,,,,14686,2,310,0.00206666666666667,3.68031655139497e-11,8.54222222222222e-06,0,0,0,2,0
6,0.1,0.00533336946948992,0.106073354089278,5,0.1,0.85,0.45,,,,,14687,1,309,0.00206,1.1336740199909e-05,4.2436e-06,0,0,0,1,0
7,0.1,0.000888420703505262,0.101284204599694,5,0.1,0.7,0.1,,,,,14068,619,930,0.0062,5.2760640615e-07,3.844e-05,0,0,0,1,0
8,0.1,0.00319119806875719,0.1044550114,5,0.1,0.5,0.2,,,,,14682,7,316,0.00210666666666667,8.65195882004734e-07,4.43804444444445e-06,0,0,0,1,0
9,0.1,0.0121959079136025,0.114961220678899,5,0.1,0.9,0.35,,,,,14687,1,311,0.00207333333333333,4.70252793464781e-06,4.29871111111111e-06,0,0,0,1,0
10,0.1,0.00235425186438087,0.107157440180306,5,0.1,0.45,0.5,,,,,14688,1,310,0.00206666666666667,6.25890869980569e-14,4.27111111111111e-06,0,0,0,1,0
