idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,0.00018831622415271,0.100420725399259,4,0.1,0.25,0.8,,,,,15000,1497,0,0,1.72898696900507e-08,0,0,,0,0,2,0
2,0.1,0.00151845756001335,0.102831912405254,4,0.1,0.65,0.95,,,,,15000,1497,0,0,3.31399135498404e-07,0,0,,0,0,2,0
3,0.1,0.000112742181966597,0.100253273619301,4,0.1,0.2,0.45,,,,,15000,1497,0,0,1.56643265546738e-08,0,0,,0,0,2,0
4,0.1,4.40756411169305e-05,0.0533761950499355,4,0.05,0.4,0.2,,,,,7500,1498,0,0,7.31589329232467e-267,0,0,,0,0,2,0
5,0.1,0.00123682991881976,0.0535342440214014,4,0.05,0.845,0.1,,,,,7484,1513,16,0.000106666666666667,1.18037782279975e-10,2.27555555555556e-08,0,,0,0,2,0
6,0.1,0.000159938427796271,0.054519026862609,4,0.05,0.35,0.55,,,,,7500,1498,0,0,6.80457777802506e-99,0,0,,0,0,1,0
7,0.1,0.00675340325553167,0.259838027681279,4,0.25,0.6,0.5,,,,,37491,1506,9,6e-05,8.68416877367153e-06,3.6e-09,0,,0,0,1,0
8,0.1,0.0422096049566924,0.161979795237404,4,0.1,0.85,0.85,,,,,15000,1497,0,0,7.91262857488168e-06,0,0,,0,0,1,0
9,0.1,3.18510043035081e-05,0.0559027589686662,4,0.05,0.15,0.3,,,,,7500,1498,0,0,0,0,0,,0,0,1,0
10,0.1,0.00026469015877582,0.0571088292928245,4,0.05,0.45,0.75,,,,,7500,1497,0,0,4.88230549932215e-94,0,0,,0,0,1,0
