idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00709520573107011,0.129588461544539,2,0.1,0.9,0.3,,,,,14625,6024,375,0.0025,5.69655288623092e-08,1.25e-05,0,0,0,2,0
2,0.2,0.00655688029824552,0.127458829078233,2,0.1,0.75,0.2,,,,,14326,6325,673,0.00448666666666667,5.30965058871314e-08,4.02603555555556e-05,0,0,0,2,0
3,0.2,0.0192298921143607,0.178482605404082,2,0.1,0.65,0.7,,,,,14207,6445,793,0.00528666666666667,8.12994558165408e-08,2.79488444444444e-05,0,0,0,1,0
4,0.2,0.00721240600151792,0.230048828974271,2,0.2,0.5,0.35,,,,,27812,7836,2187,0.01458,5.78692886234063e-08,0.0002125764,0,0,0,1,0
5,0.2,0.00538166796801693,0.22262216939172,2,0.2,0.8,0.4,,,,,28626,7019,1373,0.00915333333333333,4.98501736988097e-08,8.37835111111111e-05,0,0,0,1,0
