idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,64263.5397329708,0.0991496359606464,1,0.1,0.6,0.75,,,,,13227,1771,1773,0.01182,1.0000000264649,0.0002794248,0,0,0,2,0
2,0.1,60122.0679045857,0.101938991690457,1,0.1,0.5,0.85,,,,,13336,1662,1664,0.0110933333333333,0.999999935498172,0.000246124088888889,0,0,0,2,0
3,0.1,65868.215242358,0.0966583221037889,1,0.1,0.7,0.65,,,,,13594,1404,1406,0.00937333333333333,1.00000010146557,0.000175718755555556,0,0,0,2,0
4,0.1,52762.0806143984,0.103433206956195,1,0.1,0.45,0.9,,,,,13791,1207,1209,0.00806,0.999999869860828,0.0001299272,0,0,0,2,0
5,0.1,65038.3496782365,0.103309114751986,1,0.1,0.35,0.7,,,,,13934,1064,1066,0.00710666666666667,0.999999898241127,0.000101009422222222,0,0,0,2,0
6,0.1,66968.2307823551,0.0973164399818034,1,0.1,0.4,0.4,,,,,13368,1630,1632,0.01088,1.00000008014427,0.0001183744,0,0,0,1,0
7,0.1,0.000671620646346361,0.106371994924197,1,0.1,0.3,0.7,,,,,14052,946,948,0.00632,5.74473382794475e-09,3.99424e-05,0,0,0,1,0
8,0.1,66150.4632968837,0.103343294252763,1,0.1,0.4,0.8,,,,,13721,1277,1279,0.00852666666666667,0.999999898918498,7.27040444444444e-05,0,0,0,1,0
9,0.1,68800.0562182506,0.0956289049010909,1,0.1,0.55,0.45,,,,,12904,2094,2096,0.0139733333333333,1.00000012706662,0.000195254044444444,0,0,0,1,0
10,0.1,68063.6112013888,0.09268243710777,1,0.1,0.45,0.25,,,,,12207,2790,2793,0.01862,1.00000021502132,0.0003467044,0,0,0,1,0
