idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,64263.5397329708,0.0991496359606464,1,0.1,0.6,0.75,,,,,13884,1114,1116,0.00744,1.0000000264649,0.0001107072,0,0,0,2,0
2,0.1,60122.0679045857,0.101938991690457,1,0.1,0.5,0.85,,,,,13759,1239,1241,0.00827333333333333,0.999999935498172,0.000136896088888889,0,0,0,2,0
3,0.1,65868.215242358,0.0966583221037889,1,0.1,0.7,0.65,,,,,13072,1926,1928,0.0128533333333333,1.00000010146557,0.000330416355555556,0,0,0,2,0
4,0.1,52762.0806143984,0.103433206956195,1,0.1,0.45,0.9,,,,,13200,1798,1800,0.012,0.999999869860828,0.000288,0,0,0,2,0
5,0.1,65038.3496782365,0.103309114751986,1,0.1,0.35,0.7,,,,,13214,1783,1786,0.0119066666666667,0.999999898241127,0.000283537422222222,0,0,0,2,0
6,0.1,66968.2307823551,0.0973164399818034,1,0.1,0.4,0.4,,,,,13328,1670,1672,0.0111466666666667,1.00000008014427,0.000124248177777778,0,0,0,1,0
7,0.1,0.000671620646346361,0.106371994924197,1,0.1,0.3,0.7,,,,,13805,1192,1195,0.00796666666666667,5.74473382794475e-09,6.34677777777778e-05,0,0,0,1,0
8,0.1,66150.4632968837,0.103343294252763,1,0.1,0.4,0.8,,,,,14049,948,951,0.00634,0.999999898918498,4.01956e-05,0,0,0,1,0
9,0.1,68800.0562182506,0.0956289049010909,1,0.1,0.55,0.45,,,,,13609,1388,1391,0.00927333333333333,1.00000012706662,8.59947111111111e-05,0,0,0,1,0
10,0.1,68063.6112013888,0.09268243710777,1,0.1,0.45,0.25,,,,,12307,2689,2693,0.0179533333333333,1.00000021502132,0.000322322177777778,0,0,0,1,0
