idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.0167470308470667,0.141663960406699,1.4,0.05,0.9,0.3,,,,,7499,19165,1,6.66666666666667e-06,2.20879758437923e-07,8.88888888888889e-11,0,0,0,2,0
2,0.2,0.0140958464643188,0.127310945141821,1.4,0.05,0.75,0.2,,,,,7482,19180,18,0.00012,2.14050911173163e-07,2.88e-08,0,0,0,2,0
3,0.2,0.0367216371140432,0.249444152511091,1.4,0.05,0.65,0.7,,,,,7496,19167,4,2.66666666666667e-05,2.48584807618445e-07,7.11111111111111e-10,0,0,0,1,0
4,0.2,0.0275494718218275,0.199967756372508,1.4,0.05,0.5,0.35,,,,,7496,19166,4,2.66666666666667e-05,2.40144680591544e-07,7.11111111111111e-10,0,0,0,1,0
5,0.2,0.0219594475386388,0.169814079960724,1.4,0.05,0.8,0.4,,,,,7500,19164,0,0,2.31838428891022e-07,0,0,0,0,1,0
