idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00804383153312813,0.131270136610736,2.2,0.1,0.9,0.3,,,,,14737,5917,263,0.00175333333333333,3.72781447453441e-08,6.14835555555556e-06,0,0,0,2,0
2,0.2,0.00682174296389444,0.126542699777057,2.2,0.1,0.75,0.2,,,,,14509,6144,491,0.00327333333333333,3.67198942565312e-08,2.14294222222222e-05,0,0,0,2,0
3,0.2,0.0209022484080657,0.180232779756652,2.2,0.1,0.65,0.7,,,,,14390,6265,610,0.00406666666666667,4.62458277131598e-08,1.65377777777778e-05,0,0,0,1,0
4,0.2,0.00706417797200469,0.227441109749965,2.2,0.2,0.5,0.35,,,,,28329,7320,1669,0.0111266666666667,3.77608363412993e-08,0.000123802711111111,0,0,0,1,0
5,0.2,0.00586210664409756,0.222714168498435,2.2,0.2,0.8,0.4,,,,,29018,6636,982,0.00654666666666667,3.9424512581166e-08,4.28588444444444e-05,0,0,0,1,0
