idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.0129342396843301,0.122118348132676,2.4,0.1,0.7,0.5,,,,,13404,3275,1595,0.0106333333333333,0.000272384402380586,0.000226135555555556,0,0,0,2,0
2,0.2,0.000962485651579593,0.202137825894719,2.4,0.2,0.656,0.45,,,,,27377,4296,2622,0.01748,2.34292705972108e-05,0.0006111008,0,0,0,2,0
3,0.2,0.000833717637345368,0.201865132653584,2.4,0.2,0.93,0.375,,,,,27951,3719,2048,0.0136533333333333,2.16997026755919e-05,0.000186413511111111,0,0,0,1,0
4,0.2,0.00894988707649128,0.215643722826425,2.4,0.2,0.457,0.23,,,,,25778,5892,4222,0.0281466666666667,0.000227119233904653,0.000792234844444444,0,0,0,1,0
5,0.2,0.00746490215921215,0.113107126445457,2.4,0.1,0.845,0.11,,,,,13073,3598,1927,0.0128466666666667,0.000218658032070936,0.000165036844444444,0,0,0,1,0
