idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.0129342396843301,0.122118348132676,2.4,0.1,0.7,0.5,,,,,13411,3280,1587,0.01058,0.000272384402380586,0.0002238728,0,0,0,2,0
2,0.2,0.000962485651579593,0.202137825894719,2.4,0.2,0.656,0.45,,,,,27420,4261,2579,0.0171933333333333,2.34292705972108e-05,0.000591221422222222,0,0,0,2,0
3,0.2,0.000833717637345368,0.201865132653584,2.4,0.2,0.93,0.375,,,,,27918,3759,2081,0.0138733333333333,2.16997026755919e-05,0.000192469377777778,0,0,0,1,0
4,0.2,0.00894988707649128,0.215643722826425,2.4,0.2,0.457,0.23,,,,,25810,5872,4190,0.0279333333333333,0.000227119233904653,0.000780271111111111,0,0,0,1,0
5,0.2,0.00746490215921215,0.113107126445457,2.4,0.1,0.845,0.11,,,,,13064,3610,1936,0.0129066666666667,0.000218658032070936,0.000166582044444444,0,0,0,1,0
