idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.1,1.76953737164397e-05,0.100041133729403,3,0.1,0.25,0.8,,,,,14985,663,15,0.0001,8.76540862036129e-07,2e-08,0,,0,0,2,0
2,0.1,7.01681389679491e-05,0.0201487421180489,3,0.02,0.65,0.95,,,,,2996,652,4,2.66666666666667e-05,2.99437779368664e-06,1.42222222222222e-09,0,,0,0,2,0
3,0.1,6.31821213675206e-05,0.100135577550688,3,0.1,0.2,0.45,,,,,14969,678,30,0.0002,2.56147154304454e-06,8e-08,0,,0,0,2,0
4,0.1,9.35158363372781e-05,0.0501934221461531,3,0.05,0.4,0.2,,,,,7471,677,29,0.000193333333333333,4.07754928939282e-06,7.47555555555556e-08,0,,0,0,2,0
5,0.1,9.07304201859138e-05,0.0501879707977996,3,0.05,0.845,0.1,,,,,7252,894,247,0.00164666666666667,3.99485493154705e-06,5.42302222222222e-06,0,,0,0,2,0
6,0.1,9.92900867165524e-05,0.0402044331940942,3,0.04,0.35,0.55,,,,,5991,657,9,6e-05,4.31379665489968e-06,3.6e-09,0,,0,0,1,0
7,0.1,0.359487943618263,0.199988059947501,3,0.2,0.6,0.15,,,,,24423,5703,5575,0.0371666666666667,1.00019930419124,0.00138136111111111,0,,0,0,1,0
8,0.1,6.54309803139943e-05,0.1001379289577,3,0.1,0.85,0.85,,,,,14985,662,15,0.0001,3.21384867529193e-06,1e-08,0,,0,0,1,0
9,0.1,4.02938555533162e-05,0.10008900733739,3,0.1,0.15,0.3,,,,,14939,709,61,0.000406666666666667,1.75378626272947e-06,1.65377777777778e-07,0,,0,0,1,0
10,0.1,21.6635526382272,0.238528747410193,3,0.2,0.45,0.75,,,,,29905,742,94,0.000626666666666667,0.98938570052083,3.92711111111111e-07,0,,0,0,1,0
