idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.0087006603717196,0.114144370642579,2.8,0.1,0.7,0.5,,,,,13653,2979,1346,0.00897333333333333,0.000111249907797393,0.000161041422222222,0,0,0,2,0
2,0.2,0.00172995217430672,0.203067520195109,2.8,0.2,0.656,0.45,,,,,27911,3715,2089,0.0139266666666667,4.87005784948114e-05,0.000387904088888889,0,0,0,2,0
3,0.2,0.00907071344502056,0.214719260778631,2.8,0.2,0.93,0.375,,,,,28355,3266,1643,0.0109533333333333,0.000113098418111051,0.000119975511111111,0,0,0,1,0
4,0.2,0.013961200584096,0.222937334165351,2.8,0.2,0.457,0.23,,,,,26582,5039,3416,0.0227733333333333,0.000100995800484122,0.000518624711111111,0,0,0,1,0
5,0.2,1.6061015606878e-06,0.100003670171192,2.8,0.1,0.845,0.11,,,,,13324,3292,1676,0.0111733333333333,2.76962425559761e-06,0.000124843377777778,0,0,0,1,0
