idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,2.8068547613263,0.0143489016358509,1,0.2,0.15,0.8,,,,,26130,3790,3870,0.0258,1.14143253012011,0.00133128,0,0,0,2,0
2,0.2,0.834508129969719,0.372755320579042,1,0.2,0.5,0.65,,,,,26154,3765,3846,0.02564,0.660981723416723,0.0013148192,0,0,0,2,0
3,0.2,0.00171421390708792,0.208699047930056,1,0.2,0.25,0.95,,,,,26774,3145,3226,0.0215066666666667,3.91028821480481e-05,0.000462536711111111,0,0,0,1,0
4,0.2,5.72511451573583e-06,0.201510429983992,1,0.2,0.45,0.7,,,,,25908,4010,4092,0.02728,6.98661427153196e-230,0.0007441984,0,0,0,1,0
5,0.2,1.59309907095627e-14,0.200000000000399,1,0.2,0.6,0.65,,,,,25495,4423,4505,0.0300333333333333,1.73344433180979e-22,0.000902001111111111,0,0,0,1,0
