idx,beta,clientVars,mu,delay,lambda,p,q,packet_time_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,packet_deadline_array,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,0.00495042241951601,0.111119027820637,1.4,0.1,0.7,0.5,,,,,11800,4828,3200,0.0213333333333333,0.00185658889365704,0.000910222222222222,0,,0,0,2,0
2,0.2,0.00445706537931471,0.210167882479103,1.4,0.2,0.656,0.45,,,,,24204,7418,5796,0.03864,0.00168224351393037,0.0029860992,0,,0,0,2,0
3,0.2,0.00497539065994193,0.211159058301604,1.4,0.2,0.93,0.375,,,,,25187,6434,4813,0.0320866666666667,0.00187343452016452,0.00102955417777778,0,,0,0,1,0
4,0.2,0.00508368408756316,0.211363113477662,1.4,0.2,0.457,0.23,,,,,22022,9602,7977,0.05318,0.00191393376532166,0.0028281124,0,,0,0,1,0
5,0.2,0.00492656850022714,0.111063073873855,1.4,0.1,0.845,0.11,,,,,11395,5205,3605,0.0240333333333333,0.00185909794031889,0.000577601111111111,0,,0,0,1,0
