idx,beta,clientVars,mu,delay,lambda,p,q,packet_deadline_array,delay_time_array,mc,channel_states,A_t,U_t,D_t,tot_interrupt_rate,theoretical_interrupt_rate,qoe_penalty,vwd_deficit,avg_tot_interrupt_rate,avg_interrupt_over_runs,qoe_penalty_constant,activations
1,0.2,3.4524441451325,0.196826318696611,0.8,0.2,0.15,0.8,,,,,22479,7443,7521,0.05014,1.00147189237815,0.0050280392,0,0,0,2,0
2,0.2,2.75374574464593e-05,0.200202910358814,0.8,0.2,0.5,0.65,,,,,22371,7551,7629,0.05086,7.58274662848697e-06,0.0051734792,0,0,0,2,0
3,0.2,1.43965033960993e-05,0.200111859094159,0.8,0.2,0.25,0.95,,,,,22811,7111,7189,0.0479266666666667,3.98965048858297e-06,0.00229696537777778,0,0,0,1,0
4,0.2,1.01440368909901e-05,0.200081014143214,0.8,0.2,0.45,0.7,,,,,21939,7983,8061,0.05374,2.82159125734401e-06,0.0028879876,0,0,0,1,0
5,0.2,1.15917577421179e-05,0.200091597836543,0.8,0.2,0.6,0.65,,,,,21870,8051,8130,0.0542,3.22954977017244e-06,0.00293764,0,0,0,1,0
